epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9846,1.73812,2.85343,2.12746,0.00333,1,0.59469,0.27211,1.20238,3.32653,2.14102,0.00014,0.00014,0.00014
2,41.0487,1.13801,2.42494,1.7674,0.00333,1,0.90707,0.44602,0.78873,3.2199,1.65161,0.00029406,0.00029406,0.00029406
3,59.7029,1.22671,2.11052,1.7852,0.00333,1,0.7391,0.38664,1.024,3.3712,1.98183,0.000441784,0.000441784,0.000441784
4,80.6393,1.11978,1.75998,1.63483,0.42923,0.76471,0.70714,0.3488,1.43701,3.37978,2.61105,0.000583172,0.000583172,0.000583172
5,97.3462,1.08748,1.70102,1.58221,1,0.50323,0.8585,0.37494,1.4309,3.08718,2.69676,0.000718224,0.000718224,0.000718224
6,118.261,1.17194,1.56649,1.65274,0.48434,0.52941,0.40264,0.22897,1.51262,3.02006,2.76732,0.00084694,0.00084694,0.00084694
7,135.948,1.26811,1.68089,1.73816,0.93238,0.81175,0.90932,0.41267,1.61438,2.93015,2.91967,0.00096932,0.00096932,0.00096932
8,153.183,1.16927,1.47743,1.60531,0.81526,0.77945,0.88349,0.38416,1.20798,3.03104,2.45894,0.00108536,0.00108536,0.00108536
9,169.33,1.08873,1.53365,1.65867,0.68588,0.35294,0.51601,0.23116,2.05776,3.38551,3.67705,0.00119507,0.00119507,0.00119507
10,185.294,1.18223,1.41687,1.75942,0.77174,0.64706,0.77536,0.49856,1.35045,2.91663,2.79679,0.00129844,0.00129844,0.00129844
11,201.342,1.02104,1.44445,1.55381,0.83684,0.82353,0.7883,0.35806,1.52735,2.56352,3.09285,0.00139548,0.00139548,0.00139548
12,217.423,1.13468,1.58662,1.68159,0.81986,0.80399,0.85412,0.46506,1.38597,2.38353,2.58443,0.00148618,0.00148618,0.00148618
13,233.458,1.14372,1.44386,1.61928,0.49856,0.35107,0.30375,0.09889,1.81753,3.29331,2.88492,0.0015248,0.0015248,0.0015248
14,249.482,1.16116,1.4419,1.59234,0.59893,0.47059,0.43777,0.2173,1.51662,3.05098,2.48914,0.0014852,0.0014852,0.0014852
15,265.448,1.13907,1.38989,1.62276,0.55755,0.52941,0.45482,0.25548,1.4576,2.94667,2.51386,0.0014456,0.0014456,0.0014456
16,281.515,1.03324,1.38326,1.58443,0.54618,0.64706,0.55145,0.26996,1.47794,2.81674,2.55412,0.001406,0.001406,0.001406
17,299.727,1.14786,1.35907,1.66728,0.8836,0.89359,0.92859,0.51052,1.26455,1.9885,2.17307,0.0013664,0.0013664,0.0013664
18,315.701,1.11776,1.29738,1.64972,0.8603,0.88235,0.96666,0.53709,1.60792,1.9549,2.80962,0.0013268,0.0013268,0.0013268
19,331.624,1.09943,1.3536,1.61836,0.9856,0.88235,0.97547,0.49809,1.84451,2.26396,3.1616,0.0012872,0.0012872,0.0012872
